Jaar_laden;POSTCODE_LADEN;AANTAL_LAADLOCATIES; Totaal_KG_VRACHT ;Naam stal;Straat + huisnummer;Plaats;KVK nummer;tel nummer ;;;;
2024;1391HW;1;5.000;;;;;;;;;
2024;1391JH;1;134.000;;;;;;;;;
2024;1391KP;1;321.900;;;;;;;;;
2024;1393PJ;1;630.100;Veldhuisen Stables Nigtevecht;Klompweg 30;Nigtevecht;66893933;06 27338789;;;;
2024;1394AB;2;1.588.500;Pensionstal De Bergen;Meerlaan 23;Nederhorst den Berg;32081621;0294 257 514;;;;
2024;1398PC;1;9.000;;;;;;;;;
2024;1398PE;1;119.600;Muiderbuiten Bv 2;Noordpolderweg 2;Muiden;67107524;06 53790864;;;;
2024;1399EP;1;1.419.500;;;;;;;;;
2024;1411AX;1;52.200;;;;;;;;;
2024;1423ST;1;51.400;;;;;;;;;
2024;1426RW;1;248.600;Amstelhoeve Recreatie;Ruigekade 24;de Hoef;30161046;06 31955436;;;;
2024;1431BM;1;49.920;;;;;;;;;
2024;1432BJ;2;551.900;;;;;;;;;
2024;1432BK;1;950.400;;;;;;;;;
2024;1432BL;3;890.600;;;;;;;;;
2024;1432CB;3;5.653.200;;;;;;;;;
2024;1432CD;1;639.000;;;;;;;;;
2024;1432CP;1;197.500;Handels En Pensionstal Lijnden;Aalsmeerderweg 317;Aalsmeer;34074420;06 51177606;;;;
2024;1435EK;1;297.300;;;;;;;;;
2024;1435GE;1;54.100;;;;;;;;;
2024;1446WJ;1;33.000;;;;;;;;;
2024;1447AB;1;809.300;;;;;;;;;
2024;1456NG;1;1.363.300;Fokkerij Handels En Afr Stal Marijnissen;Zuiderweg 60 B;Wijdewormer;35021247;06 51915201;;;;
2024;1456NH;2;821.140;Jaap Zandvliet;Zuiderweg 63;Wijdewormer;34234993;0299 471 445;;;;
2024;1456NK;1;817.300;Stal 104 Bv;Noorderweg 104;Wijdewormer;34111438;020 689 8970;;;;
2024;1456NM;1;1.113.900;Weel Stables;Noorderweg 133;Wijdewormer;75475057;06 31927124;;;;
2024;1458PP;1;199.000;;;;;;;;;
2024;1461BN;1;749.580;;;;;;;;;
2024;1461DB;1;10.000;;;;;;;;;
2024;1461DR;3;127.800;;;;;;;;;
2024;1461DS;1;190.700;Jacatra Bv;Oostdijk 27;Zuidoostbeemster;36036266;0299 439 493;;;;
2024;1461GB;1;544.000;;;;;;;;;
2024;1461HT;1;34.320;;;;;;;;;
2024;1461LC;1;198.000;;;;;;;;;
2024;1462HE;1;96.000;;;;;;;;;
2024;1462JR;1;190.000;;;;;;;;;
2024;1462LJ;1;635.300;;;;;;;;;
2024;1462LK;1;342.000;;;;;;;;;
2024;1462MG;1;442.000;Maatschap J Worp En N Worp Spaans;Rijperweg 119;Middenbeemster;37161383;0299 683 466;;;;
2024;1463HA;3;765.620;Stal Hertenhof Noordbeemster Bv;Middenweg 10;Noordbeemster;37088369;0299 690 855;;;;
2024;1463PG;1;997.860;Stal Beemster Landgoed Vredeveld;Mijzerweg 5;Noordbeemster;36053281;0299 690 271;;;;
2024;1464GA;2;643.600;Benz Stables;Zuiderweg 11;Westbeemster;54676010;06 21428829;;;;
2024;1464NA;1;39.000;Stal Ingrid Vd Weiden;Wormerweg 10;Westbeemster;67729703;0299 397 070;;;;
2024;1464NK;1;136.000;;;;;;;;;
2024;1471CB;1;1.581.100;Kl Stables;Kwadijk 24 a;Kwadijk;60951524;06 30316202;;;;
2024;1471CH;1;733.800;;;;;;;;;
2024;1472BD;1;145.000;;;;;;;;;
2024;1473PB;1;109.620;;;;;;;;;
2024;1473PP;1;18.000;Yaccaranda Arabians;IJsselmeerdijk 18 a;Warder;36033649;;;;;
2024;1475JJ;1;49.220;Vof Ponyclub Sasja En Jd Ranch;Beets 132;Beets;37085601;06 51143986;;;;
2024;1481AN;1;145.500;;;;;;;;;
2024;1488AB;1;80.100;Fc Jongejans;Kogerpolder 16;Starnmeer;37149306;;;;;
2024;1488AC;1;584.980;Trainingsstal Starnmeer;Damkensvoetpad 4;Starnmeer;35030673;;;;;
2024;1488AG;1;765.500;;;;;;;;;
2024;1488AK;1;216.980;Jongens Hands On Projects;Middelweg 1;Starnmeer;77258053;;;;;
2024;1511AP;1;1.182.000;;;;;;;;;
2024;1511GK;1;284.080;;;;;;;;;
2024;1531KE;1;468.500;;;;;;;;;
2024;1546LM;1;673.700;;;;;;;;;
2024;1551PG;1;180.000;;;;;;;;;
2024;1566AK;1;19.280;;;;;;;;;
2024;1566AP;1;157.700;;;;;;;;;
2024;1566AZ;1;1.072.300;Fokkerij Pensionstal Pegasus;Akere 8;Assendelft;77251660;075 687 3721;;;;
2024;1566NC;1;14.000;;;;;;;;;
2024;1566PH;1;123.760;Handels En Pensionstal Knap Bv;Veenpolderdijk 5 b;Assendelft;34174970;;;;;
2024;1566PJ;1;23.100;;;;;;;;;
2024;1566PL;1;139.000;Stoeterij Pensionstal Wilmartho;Vaartdijk 4 AB;Assendelft;35020852;075 687 4596;;;;
2024;1566PN;1;311.200;Rm Stables;Vaartdijk 27 C;Assendelft;59127945;;;;;
2024;1602DR;1;641.400;;;;;;;;;
2024;1606AB;1;126.340;;;;;;;;;
2024;1608HH;1;793.700;Firma Stoeterij Het Centrum;Blokdijk 9 C;Wijdenes;36013638;06 22443441;;;;
2024;1608MA;1;16.000;;;;;;;;;
2024;1611BT;1;332.000;;;;;;;;;
2024;1613PG;1;577.920;Droomhoeve Bv;Geerling 14;Grootebroek;78765439;06 12214100;;;;
2024;1614LH;1;23.000;;;;;;;;;
2024;1619JE;2;616.800;Schoon Veehandel;Dijkweg 276;Andijk;36043576;06 51340773;;;;
2024;1619PR;2;275.500;Anne Marie Groenveld Holding Bv;Vleetweg 28;Andijk;72209186;06 28855237;;;;
2024;1645VK;1;181.480;;;;;;;;;
2024;1647AD;1;87.800;;;;;;;;;
2024;1647CB;1;326.380;;;;;;;;;
2024;1647MD;1;180.000;;;;;;;;;
2024;1647MR;1;582.580;;;;;;;;;
2024;1652PD;1;95.200;Jan Wijnker;Noordermeer 13;Zuidermeer;62579878;;;;;
2024;1654JN;1;105.000;;;;;;;;;
2024;1661BP;1;9.980;;;;;;;;;
2024;1676EL;1;267.300;;;;;;;;;
2024;1678HG;2;384.100;;;;;;;;;
2024;1684NH;1;161.220;;;;;;;;;
2024;1693HL;1;101.120;Leestensch Hof Vof;De Pijp 7;Wervershoof;8121942;0228 586 283;;;;
2024;1695CG;1;843.300;;;;;;;;;
2024;1697KH;1;125.940;;;;;;;;;
2024;1702PD;1;176.140;Cv Stoeterij Haalstra;Jan Glijnisweg 52 B;Heerhugowaard;37114742;06 52687930;;;;
2024;1703DG;1;40.140;;;;;;;;;
2024;1703RV;1;530.120;;;;;;;;;
2024;1703RZ;2;916.400;;;;;;;;;
2024;1704BJ;1;135.000;;;;;;;;;
2024;1704DW;1;263.000;;;;;;;;;
2024;1704NA;1;97.300;Stoeterij Baccarav;A.C. de Graafweg 6;Heerhugowaard;37135733;06 41487307;;;;
2024;1704PE;1;166.926;;;;;;;;;
2024;1713GG;1;513.420;Dwh Dutch Warmblood Horses;Hofland 2 A;Obdam;34256736;06 28413723;;;;
2024;1715GH;1;432.660;Maatschap K Slagter A Slagter Leeuw;Spanbroekerweg 1;Spanbroek;37149959;0226 351 780;;;;
2024;1718MP;1;384.220;;;;;;;;;
2024;1724PT;1;885.500;Vee En Paardenhouderij Beukers Bv;Wagenweg 12;Oudkarspel;37066401;0226 393 974;;;;
2024;1733GJ;1;228.830;;;;;;;;;
2024;1733JC;1;287.500;;;;;;;;;
2024;1734JJ;1;364.500;;;;;;;;;
2024;1734MH;1;141.280;;;;;;;;;
2024;1735ES;1;133.000;;;;;;;;;
2024;1735EV;1;78.000;;;;;;;;;
2024;1735GG;1;256.000;;;;;;;;;
2024;1735JB;1;147.000;;;;;;;;;
2024;1738DL;1;952.840;;;;;;;;;
2024;1738DT;1;10.322.414;;;;;;;;;
2024;1742NW;1;14.280;;;;;;;;;
2024;1744GE;1;188.200;;;;;;;;;
2024;1744GK;1;79.600;Jjd Blaauboer;Stroet 49;Sint Maarten;37161027;0224 551 382;;;;
2024;1749AZ;1;216.000;Broersen Stables;Diepsmeerweg 39;Warmenhuizen;58490140;06 43573929;;;;
2024;1749DK;1;287.000;;;;;;;;;
2024;1751DD;1;474.220;;;;;;;;;
2024;1753BJ;1;96.220;;;;;;;;;
2024;1755;1;24.520;;;;;;;;;
2024;1759LD;1;1.067.900;;;;;;;;;
2024;1761JJ;1;15.260;;;;;;;;;
2024;1764AV;1;3.552.000;;;;;;;;;
2024;1767EJ;1;248.000;;;;;;;;;
2024;1768BT;1;112.760;;;;;;;;;
2024;1771AD;1;126.900;;;;;;;;;
2024;1775PJ;1;498.500;;;;;;;;;
2024;1789AC;1;765.800;;;;;;;;;
2024;1789AJ;1;100.000;;;;;;;;;
2024;1792CH;1;130.606;;;;;;;;;
2024;1797SB;1;22.000;;;;;;;;;
2024;1812RB;1;600.780;;;;;;;;;
2024;1815VX;1;50.000;;;;;;;;;
2024;1824EX;1;96.200;;;;;;;;;
2024;1840;1;341.400;;;;;;;;;
2024;1842EH;1;68.000;;;;;;;;;
2024;1846LE;1;30.000;;;;;;;;;
2024;1847LM;1;273.020;Stoeterij Fleurstables;Laanweg 3;Zuidschermer;60666447;06 54971565;;;;
2024;1851BA;1;10.015;;;;;;;;;
2024;1851LR;1;123.300;;;;;;;;;
2024;1851PM;1;40.000;;;;;;;;;
2024;1861KR;1;30.100;;;;;;;;;
2024;1861PH;1;15.000;Maatschap Veldt 2;Groeneweg 2;Bergen (NH);37153841;072 589 7363;;;;
2024;1862PV;1;147.300;;;;;;;;;
2024;1871AH;1;1.936.800;;;;;;;;;
2024;1902RZ;1;475.900;;;;;;;;;
2024;1911LZ;1;43.660;;;;;;;;;
2024;1911NK;1;450.000;;;;;;;;;
2024;1911NL;1;330.000;;;;;;;;;
2024;1921AV;1;7.000;;;;;;;;;
2024;1934PC;1;974.800;;;;;;;;;
2024;1934PM;2;414.000;Stal Valkering;Hoeverweg 2 A;Egmond aan den Hoef;61943746;072 506 4371;;;;
2024;1934PN;1;51.400;;;;;;;;;
2024;1935BR;1;278.580;;;;;;;;;
2024;1935EZ;1;807.280;;;;;;;;;
2024;1942LD;1;76.000;;;;;;;;;
2024;1944NZ;1;178.000;;;;;;;;;
2024;1944PA;1;448.300;;;;;;;;;
2024;1945TT;1;177.260;;;;;;;;;
2024;1964KJ;1;760.400;;;;;;;;;
2024;1968LP;1;113.000;Vof Stal De Ruyter;Noordermaatweg 8;Heemskerk;56663420;0251 250643;;;;
2024;1969KP;1;37.820;;;;;;;;;
2024;1969ME;1;69.000;;;;;;;;;
2024;1969MT;1;81.000;;;;;;;;;
2024;1981LE;1;806.200;;;;;;;;;
2024;1981LM;1;145.000;;;;;;;;;
2024;1991JB;1;49.000;;;;;;;;;
2024;2013AS;1;208.160;Stal Vosse Vof;Kinderhuissingel 2 D;Haarlem;34014378;023 531 2876;;;;
2024;2026BJ;1;171.600;;;;;;;;;
2024;2026VL;1;93.000;;;;;;;;;
2024;2031BL;1;890.600;Green Sporthorses Bv;A. Hofmanweg 40;Haarlem;76523713;;;;;
2024;2033AC;1;528.000;;;;;;;;;
2024;2041KM;1;30.000;;;;;;;;;
2024;2041XA;1;635.300;;;;;;;;;
2024;2064WJ;1;109.400;;;;;;;;;
2024;2071AN;1;74.000;;;;;;;;;
2024;2071LG;2;1.296.000;;;;;;;;;
2024;2105MB;1;37.600;;;;;;;;;
2024;2105MG;1;9.020;;;;;;;;;
2024;2114BC;1;1.235.800;Stal S Gravenweg;Vogelenzangseweg 164;Vogelenzang;69644616;023 584 5111;;;;
2024;2116GA;1;1.063.900;;;;;;;;;
2024;2131LR;1;170.000;;;;;;;;;
2024;2131LV;1;295.000;Stal Starro;IJweg 951;Hoofddorp;34226196;06 54382179;;;;
2024;2131MT;1;131.500;;;;;;;;;
2024;2136LJ;1;226.000;;;;;;;;;
2024;2136LK;1;438.500;;;;;;;;;
2024;2136LR;1;541.800;;;;;;;;;
2024;2141BG;1;372.700;;;;;;;;;
2024;2141BH;1;307.000;;;;;;;;;
2024;2141BJ;2;340.200;;;;;;;;;
2024;2141BR;2;368.980;;;;;;;;;
2024;2141BS;3;850.640;;;;;;;;;
2024;2141EV;1;226.600;;;;;;;;;
2024;2142ES;1;318.800;Stal Cruquius;Cruquiusdijk 68 B;Cruquius;34185148;023 558 1288;;;;
2024;2143CJ;1;631.060;;;;;;;;;
2024;2144KV;1;1.239.600;;;;;;;;;
2024;2152BL;1;345.300;;;;;;;;;
2024;2152NA;1;1.360.520;;;;;;;;;
2024;2153KC;1;189.100;;;;;;;;;
2024;2153KD;1;101.800;Western Wranglers;Rijnlanderweg 1337;Nieuw-Vennep;70228108;0252 676 211;;;;
2024;2153KE;1;1.767.940;;;;;;;;;
2024;2153KG;1;129.200;;;;;;;;;
2024;2153KH;1;177.700;;;;;;;;;
2024;2153LN;1;130.000;;;;;;;;;
2024;2153MD;1;817.000;;;;;;;;;
2024;2156MX;1;30.100;;;;;;;;;
2024;2157PB;1;141.000;;;;;;;;;
2024;2160;1;342.800;;;;;;;;;
2024;2161AM;1;98.900;;;;;;;;;
2024;2161KE;1;146.600;;;;;;;;;
2024;2162KL;1;464.800;;;;;;;;;
2024;2165AR;1;1.304.000;;;;;;;;;
2024;2171AL;1;33.500;;;;;;;;;
2024;2171BB;1;1.055.900;;;;;;;;;
2024;2181HB;1;112.800;;;;;;;;;
2024;2200;1;586.400;;;;;;;;;
2024;2201CZ;1;78.700;;;;;;;;;
2024;2201EZ;1;598.780;;;;;;;;;
2024;2201ZG;1;103.100;;;;;;;;;
2024;2202BZ;1;68.600;;;;;;;;;
2024;2202NG;1;270.000;;;;;;;;;
2024;2204AA;1;93.700;;;;;;;;;
2024;2204AP;1;589.040;Stal Van Nobelen Bv;Kraaierslaan 2;Noordwijk;28073576;0252 377 452;;;;
2024;2204AV;1;155.100;;;;;;;;;
2024;2211XM;1;820.500;;;;;;;;;
2024;2221BL;1;666.200;;;;;;;;;
2024;2223LA;2;757.200;;;;;;;;;
2024;2223LC;1;1.099.900;;;;;;;;;
2024;2231NR;1;48.480;;;;;;;;;
2024;2240;1;949.820;;;;;;;;;
2024;2241BG;3;1.162.300;Stoeterij Van Alle Winden Bv;Oostdorperweg 214;Wassenaar;74032283;;;;;
2024;2242;1;487.160;;;;;;;;;
2024;2242AA;1;621.300;;;;;;;;;
2024;2244BK;1;284.200;;;;;;;;;
2024;2244BN;1;1.074.720;;;;;;;;;
2024;2245AG;1;167.000;;;;;;;;;
2024;2245BG;1;40.400;;;;;;;;;
2024;2252AH;1;274.000;;;;;;;;;
2024;2253JA;1;428.100;;;;;;;;;
2024;2253NB;1;258.600;;;;;;;;;
2024;2254AL;1;151.800;De Halve Heerlijkheid;Papelaan-West 232;Voorschoten;66344859;06 30462194;;;;
2024;2260;1;1.618.600;;;;;;;;;
2024;2264EG;1;65.100;;;;;;;;;
2024;2264TK;1;526.000;;;;;;;;;
2024;2265CL;1;284.900;Ajwm Lelieveld;Veursestraatweg 288;Leidschendam;51695499;;;;;
2024;2266GC;1;272.400;Raafael;Stompwijkseweg 11 A;Leidschendam;58310037;;;;;
2024;2266GG;1;116.150;A Breedijk;Stompwijkseweg 48;Leidschendam;76818098;070 320 0323;;;;
2024;2266GL;1;48.500;;;;;;;;;
2024;2266GM;2;596.360;;;;;;;;;
2024;2266HJ;1;61.040;;;;;;;;;
2024;2266HW;1;1.032.000;De Meerhoeve;Meer- en Geerweg 3 A;Leidschendam;71135685;06 55165220;;;;
2024;2286AD;1;978.200;;;;;;;;;
2024;2291HM;1;258.200;;;;;;;;;
2024;2300;1;580.100;;;;;;;;;
2024;2310;1;713.730;;;;;;;;;
2024;2317RH;1;214.000;;;;;;;;;
2024;2320;1;295.800;;;;;;;;;
2024;2323LC;1;325.400;;;;;;;;;
2024;2323LG;1;120.000;Whl Van Der Post;Vlietweg 82;Leiden;52277089;06 21553663;;;;
2024;2328;1;22.200;;;;;;;;;
2024;2330;1;485.800;;;;;;;;;
2024;2333AL;1;253.200;;;;;;;;;
2024;2342AK;1;198.490;;;;;;;;;
2024;2353BZ;1;622.000;;;;;;;;;
2024;2361GC;1;168.800;;;;;;;;;
2024;2370;1;78.300;;;;;;;;;
2024;2374BW;2;790.800;Stal Zwetsloot;Achterwetering 8;Oud Ade;52234134;06 22405627;;;;
2024;2375NA;1;874.120;;;;;;;;;
2024;2376AX;1;660.800;;;;;;;;;
2024;2381;1;84.400;;;;;;;;;
2024;2381EM;1;187.900;;;;;;;;;
2024;2381EW;1;33.988;Vleesveehouderij Spronk;Laan van Oud Raadwijk 6;Zoeterwoude;27354548;06 43813773;;;;
2024;2381LG;1;129.000;;;;;;;;;
2024;2382;1;503.200;;;;;;;;;
2024;2382GZ;1;301.000;Stal De Nieuwe Uithof;Molenpad 7 A;Zoeterwoude;67501273;06 22913218;;;;
2024;2390;1;1.708.080;;;;;;;;;
2024;2391AG;1;360.460;Studio Citta;Voorweg 86;Hazerswoude-Dorp;28092723;;;;;
2024;2391JE;1;493.200;;;;;;;;;
2024;2391MS;1;2.270.000;Fa Kaptein;Burmadeweg 12;Hazerswoude-Dorp;28025353;071 341 3586;;;;
2024;2391NS;1;396.000;;;;;;;;;
2024;2394AD;2;1.343.000;;;;;;;;;
2024;2401LP;1;256.000;Lone Star Western Stable;Gnephoek 42;Alphen aan den Rijn;28089985;06 41918285;;;;
2024;2401LT;1;150.000;;;;;;;;;
2024;2402NH;1;70.500;;;;;;;;;
2024;2403NA;1;685.000;;;;;;;;;
2024;2407AB;1;115.815;Vof Captein;J.C. Hoogendoornlaan 37 A;Alphen aan den Rijn;27349027;06 12830254;;;;
2024;2407BD;1;16.440;;;;;;;;;
2024;2411HZ;1;330.000;;;;;;;;;
2024;2411RD;1;583.800;;;;;;;;;
2024;2411RE;1;106.000;Stal De Olijftak;Noordzijde 111;Bodegraven;28093980;06 53896632;;;;
2024;2411RG;1;117.120;;;;;;;;;
2024;2411RT;2;544.500;Lj Hofland Beheer Bv;Zuidzijde 63;Bodegraven;28110861;0172 650107;;;;
2024;2411RX;1;26.200;;;;;;;;;
2024;2415BG;1;707.400;Dirk Jan De Wit;De Bree 22;Nieuwerbrug aan den Rijn;70685703;0348 688 530;;;;
2024;2421KZ;1;161.200;Stal Oosterman;Electronweg 1;Nieuwkoop;28085971;0172 574 584;;;;
2024;2421XW;1;440.300;;;;;;;;;
2024;2435NC;1;74.800;;;;;;;;;
2024;2435ND;1;865.500;;;;;;;;;
2024;2435NK;1;151.900;;;;;;;;;
2024;2440;1;9.000;;;;;;;;;
2024;2441GG;1;528.000;;;;;;;;;
2024;2445AA;1;612.680;;;;;;;;;
2024;2451BB;1;459.100;Maatschap Gebr Kea;Willem van der Veldenweg 8;Leimuiden;27354120;0172 507 312;;;;
2024;2460;1;1.052.360;;;;;;;;;
2024;2461BZ;1;126.900;;;;;;;;;
2024;2461CN;1;789.600;;;;;;;;;
2024;2461EJ;1;62.300;;;;;;;;;
2024;2461EW;1;108.700;;;;;;;;;
2024;2471XE;1;165.000;;;;;;;;;
2024;2481KE;2;581.444;;;;;;;;;
2024;2481KT;1;70.300;;;;;;;;;
2024;2481KX;1;316.850;Gph Stud;Boddens Hosangweg 45;Woubrugge;28078537;06 54626622;;;;
2024;2481NA;1;483.320;;;;;;;;;
2024;2481NB;1;664.900;;;;;;;;;
2024;2493ZH;1;354.008;;;;;;;;;
2024;2493ZJ;1;109.600;;;;;;;;;
2024;2495AG;1;595.000;;;;;;;;;
2024;2497NX;1;601.400;;;;;;;;;
2024;2500;1;630.200;;;;;;;;;
2024;2514BP;1;134.800;;;;;;;;;
2024;2514CV;1;215.300;;;;;;;;;
2024;2514HA;1;642.600;;;;;;;;;
2024;2520;1;513.160;;;;;;;;;
2024;2530;1;1.021.900;;;;;;;;;
2024;2533SX;1;122.700;;;;;;;;;
2024;2544LG;1;1.588.700;;;;;;;;;
2024;2544NS;1;897.100;;;;;;;;;
2024;2550;1;647.100;;;;;;;;;
2024;2552RD;1;250.800;;;;;;;;;
2024;2553EG;1;390.200;;;;;;;;;
2024;2553EP;1;292.480;;;;;;;;;
2024;2555VW;1;40.100;;;;;;;;;
2024;2560;1;158.400;;;;;;;;;
2024;2564CW;1;110.500;;;;;;;;;
2024;2565AB;1;687.600;;;;;;;;;
2024;2580;1;137.320;;;;;;;;;
2024;2585HD;1;8.000;;;;;;;;;
2024;2597JH;1;279.200;;;;;;;;;
2024;2623NB;1;13.600;;;;;;;;;
2024;2629HD;2;805.100;Stal Poot;Rotterdamseweg 191 A;Delft;54972914;015 256 1353;;;;
2024;2629JE;1;3.472.700;Manege De Prinsenstad Bv;Rijksstraatweg 145;Delft;27219574;010 470 4860;;;;
2024;2630;1;292.400;;;;;;;;;
2024;2631NC;1;55.380;;;;;;;;;
2024;2631PB;1;1.812.000;;;;;;;;;
2024;2631PR;1;640.000;;;;;;;;;
2024;2635AC;2;1.639.000;;;;;;;;;
2024;2636AK;1;137.000;;;;;;;;;
2024;2636AW;1;194.400;;;;;;;;;
2024;2636AX;1;119.742;;;;;;;;;
2024;2636EC;2;832.900;Stal Langelaan;Oostveenseweg 9;Schipluiden;66275385;06 26030747;;;;
2024;2636ED;1;36.640;Olsthoorn Stables;Oostveenseweg 4;Schipluiden;27282076;06 19522791;;;;
2024;2636EG;1;94.000;;;;;;;;;
2024;2636KE;1;490.000;;;;;;;;;
2024;2641AZ;1;401.800;;;;;;;;;
2024;2641NE;1;40.500;;;;;;;;;
2024;2641NR;1;28.305;;;;;;;;;
2024;2641NX;3;1.234.000;;;;;;;;;
2024;2641NZ;1;275.200;;;;;;;;;
2024;2641PC;1;633.600;;;;;;;;;
2024;2641PX;1;175.700;;;;;;;;;
2024;2641TX;1;96.300;;;;;;;;;
2024;2642KN;1;396.400;;;;;;;;;
2024;2645BD;1;700.200;Dressage Horses Vitale Prijs;Zuideindseweg 25;Delfgauw;60696702;0251 671 990;;;;
2024;2645BE;1;150.500;;;;;;;;;
2024;2645BH;1;68.000;;;;;;;;;
2024;2645CA;1;30.500;;;;;;;;;
2024;2651KV;1;201.000;Stoeterij Galloper;Kleihoogt 11 b;Berkel en Rodenrijs;27275688;010 511 2326;;;;
2024;2651LN;1;207.800;;;;;;;;;
2024;2651LV;1;240.500;;;;;;;;;
2024;2661CS;1;1.654.900;;;;;;;;;
2024;2661CT;1;158.600;;;;;;;;;
2024;2661DD;1;47.000;;;;;;;;;
2024;2661ET;1;281.100;;;;;;;;;
2024;2661GT;1;1.507.800;;;;;;;;;
2024;2661JK;1;113.000;;;;;;;;;
2024;2665HA;1;527.200;;;;;;;;;
2024;2665HS;1;54.000;;;;;;;;;
2024;2665KB;1;201.000;;;;;;;;;
2024;2665KG;1;96.900;;;;;;;;;
2024;2665KM;1;820.600;Cooperatie Fair To Horses Ua;Merenweg 25;Bleiswijk;72371544;06 39712260;;;;
2024;2665KR;1;636.100;;;;;;;;;
2024;2665LC;1;229.000;;;;;;;;;
2024;2671MR;1;991.600;;;;;;;;;
2024;2675EE;1;192.600;;;;;;;;;
2024;2676BM;1;161.700;;;;;;;;;
2024;2681GG;1;392.300;;;;;;;;;
2024;2681LP;1;159.500;Stal Zwartendijk Bv;Zwartendijk 39;Monster;27227428;0174 212 915;;;;
2024;2681MR;1;22.000;;;;;;;;;
2024;2681PJ;1;720.200;;;;;;;;;
2024;2681RH;1;123.400;Stal Vink Trotteur Francais;Boomaweg 20 A;Monster;58504834;;;;;
2024;2685BA;1;59.700;;;;;;;;;
2024;2685SM;1;1.005.800;;;;;;;;;
